﻿文件夹,文件名,控件名,控件文本,Key,控件路径,md5,文件路径
betaAppointment,BetaAppointmentView.csd,Text_3,包含以下奖品：,editor.betaAppointment.3,/_resourceNode/node2/Text_3,9cc49b2d253e2d2703d76dfa93b3cd0e,activity/betaAppointment/BetaAppointmentView.csd
dailysignin,DailySigninItemNode.csd,_textVip,V1双倍,editor.dailysignin.1,/_textVip,9b77b1d258f6699d8fd7a74105c39b88,activity/dailysignin/DailySigninItemNode.csd
dailysignin,DailySigninView.csd,Text_9,已累计签到,,/Text_9,3ca103d90383bf029d2eb001de96b12c,activity/dailysignin/DailySigninView.csd
dailysignin,DailySigninView.csd,_textTian,天,editor.dailysignin.2,/_textTian,3ca103d90383bf029d2eb001de96b12c,activity/dailysignin/DailySigninView.csd
dinner,DinnerView.csd,_textCDHint,下次用餐时间：,,/Panel_left_bg/_textCDHint,b76e257d7d15be362db6770b643303b8,activity/dinner/DinnerView.csd
dinner,DinnerView.csd,_textCDTitle,到下次宴会时间：,,/Panel_left_bg/_textCDTitle,b76e257d7d15be362db6770b643303b8,activity/dinner/DinnerView.csd
dinner,DinnerView.csd,Text_2,"用餐可恢复体力
有概率获得元宝",editor.dinner.1,/Panel_left_bg/Tip_BG/Text_2,b76e257d7d15be362db6770b643303b8,activity/dinner/DinnerView.csd
dinner,DinnerView.csd,TitleLabel,用餐时间,editor.dinner.2,/Panel_left_bg/Image_3/TitleLabel,b76e257d7d15be362db6770b643303b8,activity/dinner/DinnerView.csd
dinner,DinnerView.csd,_textDinnerName01,午 餐 ：,,/Panel_left_bg/Image_3/_textDinnerName01,b76e257d7d15be362db6770b643303b8,activity/dinner/DinnerView.csd
dinner,DinnerView.csd,_textDinnerName02,晚 餐 ：,,/Panel_left_bg/Image_3/_textDinnerName02,b76e257d7d15be362db6770b643303b8,activity/dinner/DinnerView.csd
dinner,DinnerView.csd,_textDinnerName03,夜 宵 ：,,/Panel_left_bg/Image_3/_textDinnerName03,b76e257d7d15be362db6770b643303b8,activity/dinner/DinnerView.csd
levelGift,LevelGiftItemCell.csd,_textItemName,体力丹,,/_resourceNode/bg/_textItemName,40b4d0bcc5c44f4b6bc26b7f1e6d77b5,activity/levelGift/LevelGiftItemCell.csd
levelGift,LevelGiftItemCell.csd,Label1,后到期,editor.levelGift.1,/_resourceNode/bg/_timeCountDownDes/Label1,40b4d0bcc5c44f4b6bc26b7f1e6d77b5,activity/levelGift/LevelGiftItemCell.csd
levelGift,LevelGiftItemCell.csd,Label1_0,请尽快购买,editor.levelGift.2,/_resourceNode/bg/_timeCountDownDes/Label1_0,40b4d0bcc5c44f4b6bc26b7f1e6d77b5,activity/levelGift/LevelGiftItemCell.csd
luxurygiftpkg,LuxuruGiftPkgView.csd,Text_1,已购买7日优惠,editor.luxurygiftpkg.1,/Panel_left_bg/_panelRemainDay/Text_1,ec54c27695475b01ebf0f4e50621bd3b,activity/luxurygiftpkg/LuxuruGiftPkgView.csd
luxurygiftpkg,LuxuruGiftPkgView.csd,Text_1_0,还可领取,editor.luxurygiftpkg.2,/Panel_left_bg/_panelRemainDay/Text_1_0,ec54c27695475b01ebf0f4e50621bd3b,activity/luxurygiftpkg/LuxuruGiftPkgView.csd
luxurygiftpkg,LuxuruGiftPkgView.csd,Text_1_1,天,editor.dailysignin.2,/Panel_left_bg/_panelRemainDay/Text_1_1,ec54c27695475b01ebf0f4e50621bd3b,activity/luxurygiftpkg/LuxuruGiftPkgView.csd
luxurygiftpkg,LuxuryGiftPkgItemCell.csd,Text_3,必定获得,editor.luxurygiftpkg.3,/_resourceNode/Text_3,7d081a8429203c0d767f8869e4a60736,activity/luxurygiftpkg/LuxuryGiftPkgItemCell.csd
luxurygiftpkg,LuxuryGiftPkgItemCell.csd,Text_3_0,概率获得,editor.luxurygiftpkg.4,/_resourceNode/Text_3_0,7d081a8429203c0d767f8869e4a60736,activity/luxurygiftpkg/LuxuryGiftPkgItemCell.csd
luxurygiftpkg,LuxuryGiftPkgItemCell.csd,_textItemName,1元礼包,,/_resourceNode/_textItemName,7d081a8429203c0d767f8869e4a60736,activity/luxurygiftpkg/LuxuryGiftPkgItemCell.csd
moneytree,MoneyTreeView.csd,Text_5,剩余次数：,editor.moneytree.1,/_nodeContent/Text_5,d2f389301925bbb298e8bc4b9db62c87,activity/moneytree/MoneyTreeView.csd
moneytree,MoneyTreeView.csd,Text,当前次数,,/_nodeContent/_nodeBox/Text,d2f389301925bbb298e8bc4b9db62c87,activity/moneytree/MoneyTreeView.csd
moneytree,MoneyTreeView.csd,Text,10次,,/_nodeContent/_nodeBox/Image_box_1/Text,d2f389301925bbb298e8bc4b9db62c87,activity/moneytree/MoneyTreeView.csd
moneytree,MoneyTreeView.csd,Text,10次,,/_nodeContent/_nodeBox/Image_box_2/Text,d2f389301925bbb298e8bc4b9db62c87,activity/moneytree/MoneyTreeView.csd
moneytree,MoneyTreeView.csd,Text,10次,,/_nodeContent/_nodeBox/Image_box_3/Text,d2f389301925bbb298e8bc4b9db62c87,activity/moneytree/MoneyTreeView.csd
moneytree,MoneyTreeView.csd,Text,10次,,/_nodeContent/_nodeBox/Image_box_4/Text,d2f389301925bbb298e8bc4b9db62c87,activity/moneytree/MoneyTreeView.csd
moneytree,MoneyTreeView.csd,Text,10次,,/_nodeContent/_nodeBox/Image_box_5/Text,d2f389301925bbb298e8bc4b9db62c87,activity/moneytree/MoneyTreeView.csd
moneytree,MoneyTreeView.csd,FreeCountDes,剩余免费次数：,editor.moneytree.3,/_nodeContent/_freeCount/FreeCountDes,d2f389301925bbb298e8bc4b9db62c87,activity/moneytree/MoneyTreeView.csd
moneytree,MoneyTreeView.csd,Text_5_0,消耗：,editor.moneytree.2,/_nodeContent/_commonResourceInfoOnce/Text_5_0,d2f389301925bbb298e8bc4b9db62c87,activity/moneytree/MoneyTreeView.csd
moneytree,MoneyTreeView.csd,Text_5_0,消耗：,editor.moneytree.2,/_nodeContent/_commonResourceInfo10Times/Text_5_0,d2f389301925bbb298e8bc4b9db62c87,activity/moneytree/MoneyTreeView.csd
monthlycard,MonthlyCardItemCell.csd,Text_Des,7天可获得,,/Image_bg/Text_Des,0b9e2b224a5a05ec6fbf699eaa893361,activity/monthlycard/MonthlyCardItemCell.csd
monthlycard,MonthlyCardItemCell.csd,Text_02,每日可领,editor.monthlycard.1,/Image_bg/Image_39/Text_02,0b9e2b224a5a05ec6fbf699eaa893361,activity/monthlycard/MonthlyCardItemCell.csd
monthlycard,MonthlyCardItemCell.csd,Text_40,每日概率获得,editor.monthlycard.4,/Image_bg/Image_82/Text_40,0b9e2b224a5a05ec6fbf699eaa893361,activity/monthlycard/MonthlyCardItemCell.csd
monthlycard,MonthlyCardItemCell.csd,Text_03,购买立得,editor.monthlycard.5,/Image_bg/Image_81/Image_send/Text_03,0b9e2b224a5a05ec6fbf699eaa893361,activity/monthlycard/MonthlyCardItemCell.csd
monthlycard,MonthlyCardItemCell.csd,textTitle,未购买,editor.monthlycard.3,/Image_bg/Image_hint_bg/textTitle,0b9e2b224a5a05ec6fbf699eaa893361,activity/monthlycard/MonthlyCardItemCell.csd
openserverfund,FundItemNode.csd,_textItemName,100元宝,,/_imageRoot/_textItemName,72155b2fbbd3d0a67ed1dcdd622044b7,activity/openserverfund/FundItemNode.csd
openserverfund,OpenServerFundItemCell.csd,_textItemName,500元宝,,/_resourceNode/_textItemName,5111eeeb62d988344cdbf16849327597,activity/openserverfund/OpenServerFundItemCell.csd
openserverfund,OpenServerFundView.csd,TextCurr,当前VIP等级：,editor.openserverfund.1,/Panel_left_bg/_nodeVip/TextCurr,5e662af6b46639e1c68f2bdd8392b698,activity/openserverfund/OpenServerFundView.csd
openserverfund,OpenServerFundView.csd,TextCurr2,以上可购买,editor.openserverfund.2,/Panel_left_bg/_nodeVip/TextCurr2,5e662af6b46639e1c68f2bdd8392b698,activity/openserverfund/OpenServerFundView.csd
openserverfund,OpenServerFundView.csd,TextCurr,总计可获得,editor.openserverfund.3,/Panel_left_bg/_nodeFundDes/TextCurr,5e662af6b46639e1c68f2bdd8392b698,activity/openserverfund/OpenServerFundView.csd
openserverfund,OpenServerFundView.csd,TextCurr2,购成长基金,editor.openserverfund.4,/Panel_left_bg/_nodeFundDes/TextCurr2,5e662af6b46639e1c68f2bdd8392b698,activity/openserverfund/OpenServerFundView.csd
rechargeRebate,RechargeRebate.csd,_curRecharge,200元,,/_resourceNode/_curRecharge,d492e30a1a7d1befcc3218e4b67d6c22,activity/rechargeRebate/RechargeRebate.csd
rechargeRebate,RechargeRebate.csd,_nextGet,200元 22200,,/_resourceNode/_nextGet,d492e30a1a7d1befcc3218e4b67d6c22,activity/rechargeRebate/RechargeRebate.csd
resourceBack,ResourceBackCell.csd,_title1,宴会,,/_resourceNode/_item1/_title1,ca6edd911fca367b1cf9fb5e5ddbea6b,activity/resourceBack/ResourceBackCell.csd
resourceBack,ResourceBackCell.csd,_title2,宴会,,/_resourceNode/_item2/_title2,ca6edd911fca367b1cf9fb5e5ddbea6b,activity/resourceBack/ResourceBackCell.csd
superCheckin,SuperCheckinItemCell.csd,_selectText1,点击选取,,/_resourceNode/_cellItem1/_selectText1,9ee4cf557b9c9d7ee809bc866ea0a625,activity/superCheckin/SuperCheckinItemCell.csd
superCheckin,SuperCheckinItemCell.csd,_selectText2,点击选取,,/_resourceNode/_cellItem2/_selectText2,9ee4cf557b9c9d7ee809bc866ea0a625,activity/superCheckin/SuperCheckinItemCell.csd
superCheckin,SuperCheckinItemCell.csd,_selectText3,点击选取,,/_resourceNode/_cellItem3/_selectText3,9ee4cf557b9c9d7ee809bc866ea0a625,activity/superCheckin/SuperCheckinItemCell.csd
superCheckin,SuperCheckinView.csd,Text_9,当前已选取：,editor.superCheckin.1,/_resourceNode/_btnGet/Text_9,1e66deb4f42a66bf80cb18a43b30bbe5,activity/superCheckin/SuperCheckinView.csd
weeklygiftpkg,WeeklyGiftPkgItemCell.csd,_textItemName,体力丹,,/_resourceNode/Panel/_textItemName,583b960bf637faed5ca35f7d6f46844e,activity/weeklygiftpkg/WeeklyGiftPkgItemCell.csd
weeklygiftpkg,WeeklyGiftPkgItemCell.csd,_textCondition,VIP2可购买,,/_resourceNode/Panel/_textCondition,583b960bf637faed5ca35f7d6f46844e,activity/weeklygiftpkg/WeeklyGiftPkgItemCell.csd
weeklygiftpkg,WeeklyGiftPkgItemCell.csd,Text_5,达到,editor.weeklygiftpkg.2,/_resourceNode/Panel/_textVip/Text_5,583b960bf637faed5ca35f7d6f46844e,activity/weeklygiftpkg/WeeklyGiftPkgItemCell.csd
weeklygiftpkg,WeeklyGiftPkgItemCell.csd,_vipDes2,可购,editor.weeklygiftpkg.3,/_resourceNode/Panel/_textVip/_vipDes2,583b960bf637faed5ca35f7d6f46844e,activity/weeklygiftpkg/WeeklyGiftPkgItemCell.csd
weeklygiftpkg,WeeklyGiftPkgView.csd,TextActTimeLabel,周礼包更新时间：,editor.weeklygiftpkg.1,/Panel_1/_countDownNode/TextActTimeLabel,4faa60de49a3e3d70782523edae13065,activity/weeklygiftpkg/WeeklyGiftPkgView.csd
weeklygiftpkg,WeeklyGiftPkgView.csd,_textTime,01天 00:00:00,,/Panel_1/_countDownNode/_textTime,4faa60de49a3e3d70782523edae13065,activity/weeklygiftpkg/WeeklyGiftPkgView.csd
activityguildsprint,ActivityGuildSprintItemCell.csd,_textGuildName,红将红将,,/_resourceNode/_textGuildName,3fd7d37e6c70a0758aa02674cd407036,activityguildsprint/ActivityGuildSprintItemCell.csd
activityguildsprint,ActivityGuildSprintItemCell.csd,_textRank,第4—10名,,/_resourceNode/_textRank,3fd7d37e6c70a0758aa02674cd407036,activityguildsprint/ActivityGuildSprintItemCell.csd
activityguildsprint,ActivityGuildSprintView.csd,_textRankTitle,我的军团排名：,editor.activityguildsprint.4,/ResourceNode/_textRankTitle,194b8ba9f787d2f84cc8be7479a08392,activityguildsprint/ActivityGuildSprintView.csd
activityguildsprint,ActivityGuildSprintView.csd,_textActDes,为动期间单笔充值特定金额即可获得丰厚,,/ResourceNode/_textNode/_textActDes,194b8ba9f787d2f84cc8be7479a08392,activityguildsprint/ActivityGuildSprintView.csd
activityguildsprint,ActivityGuildSprintView.csd,titleCount,名次,editor.guildAnswer.7,/ResourceNode/_titleBG/titleCount,194b8ba9f787d2f84cc8be7479a08392,activityguildsprint/ActivityGuildSprintView.csd
activityguildsprint,ActivityGuildSprintView.csd,_textTitleName,当前军团,,/ResourceNode/_titleBG/_textTitleName,194b8ba9f787d2f84cc8be7479a08392,activityguildsprint/ActivityGuildSprintView.csd
activityguildsprint,ActivityGuildSprintView.csd,titleChapter,团长奖励,editor.activityguildsprint.5,/ResourceNode/_titleBG/titleChapter,194b8ba9f787d2f84cc8be7479a08392,activityguildsprint/ActivityGuildSprintView.csd
activityguildsprint,ActivityGuildSprintView.csd,titleStarCount,副团、长老奖励,editor.activityguildsprint.6,/ResourceNode/_titleBG/titleStarCount,194b8ba9f787d2f84cc8be7479a08392,activityguildsprint/ActivityGuildSprintView.csd
activityguildsprint,ActivityGuildSprintView.csd,title2,成员奖励,editor.activityguildsprint.7,/ResourceNode/_titleBG/title2,194b8ba9f787d2f84cc8be7479a08392,activityguildsprint/ActivityGuildSprintView.csd
activityguildsprint,ActivityGuildSprintView.csd,_textTimeTitle,活动倒计时:,,/ResourceNode/_countDownNode/_textTimeTitle,194b8ba9f787d2f84cc8be7479a08392,activityguildsprint/ActivityGuildSprintView.csd
activityguildsprint,GuildSprintRankItemCell.csd,_textGuildName,红将,,/_resourceNode/_textGuildName,d007983a28b07b02330b9a0e7126549c,activityguildsprint/GuildSprintRankItemCell.csd
activityguildsprint,GuildSprintRankItemCell.csd,_textGuildLeader,安迪胡迪,,/_resourceNode/_textGuildLeader,d007983a28b07b02330b9a0e7126549c,activityguildsprint/GuildSprintRankItemCell.csd
activityguildsprint,PopupGuildSprintRank.csd,_textRankTitle,结算时所在军团排名：,editor.activityguildsprint.1,/_panelBase/_textRankTitle,e918755b3879125c4a8b2a006d4fbeef,activityguildsprint/PopupGuildSprintRank.csd
activityguildsprint,PopupGuildSprintRank.csd,titleCount,名次,editor.guildAnswer.7,/_panelBase/_titleBG/titleCount,e918755b3879125c4a8b2a006d4fbeef,activityguildsprint/PopupGuildSprintRank.csd
activityguildsprint,PopupGuildSprintRank.csd,titleName,军团,editor.guildAnswer.8,/_panelBase/_titleBG/titleName,e918755b3879125c4a8b2a006d4fbeef,activityguildsprint/PopupGuildSprintRank.csd
activityguildsprint,PopupGuildSprintRank.csd,titleChapter,军团长,editor.activityguildsprint.2,/_panelBase/_titleBG/titleChapter,e918755b3879125c4a8b2a006d4fbeef,activityguildsprint/PopupGuildSprintRank.csd
arena,ArenaFightStartName.csd,_playerName,玩家名称,editor.groups.1,/Panel_62/Panel_129/_playerName,e4bd7f128fbe4c3b796a7d91abb3fee9,arena/ArenaFightStartName.csd
arena,ArenaHeroAvatar.csd,_textUserName,玩家名称呵呵,,/Node_platform/top_info_panel/_textUserName,73c5036db283bbafdaa667a2cf7b1b9e,arena/ArenaHeroAvatar.csd
arena,ArenaHeroAvatar.csd,_textPowerDesc,战力:,editor.arena.6,/Node_platform/top_info_panel/_textPowerDesc,73c5036db283bbafdaa667a2cf7b1b9e,arena/ArenaHeroAvatar.csd
arena,ArenaHeroAvatar.csd,_textPowerValue,2106万,,/Node_platform/top_info_panel/_textPowerValue,73c5036db283bbafdaa667a2cf7b1b9e,arena/ArenaHeroAvatar.csd
arena,ArenaHeroAvatar.csd,Text,扫荡,editor.arena.7,/Node_platform/_btnSweep/Text,73c5036db283bbafdaa667a2cf7b1b9e,arena/ArenaHeroAvatar.csd
arena,ArenaHeroAvatar.csd,Text_self,自己,editor.arena.8,/Node_platform/_imageSelf/Text_self,73c5036db283bbafdaa667a2cf7b1b9e,arena/ArenaHeroAvatar.csd
arena,ArenaView.csd,Text_title_my_rank,我的排名：,editor.siege.13,/_panelDesign/_panelRtMid/Text_title_my_rank,a9b9aad51333dfe06b16895294532a27,arena/ArenaView.csd
arena,ArenaView.csd,Text_title_award,挑战次数：,editor.tower.10,/_panelDesign/_panelRtMid/Text_title_award,a9b9aad51333dfe06b16895294532a27,arena/ArenaView.csd
arena,PopupArenaAward.csd,_textMyRankDesc,我的最高排名：,editor.arena.3,/Panel_root/_textMyRankDesc,b9c12edda71f42cc87b747975f182ad3,arena/PopupArenaAward.csd
arena,PopupArenaAward.csd,_textRankDesc,排名,editor.arena.4,/Panel_root/Panel_line/_textRankDesc,b9c12edda71f42cc87b747975f182ad3,arena/PopupArenaAward.csd
arena,PopupArenaAward.csd,_textAwardDesc,奖励,editor.arena.5,/Panel_root/Panel_line/_textAwardDesc,b9c12edda71f42cc87b747975f182ad3,arena/PopupArenaAward.csd
arena,PopupArenaPeekCell.csd,_playerName1,暗黑逗逼邱莹莹,,/_resourceNode/BG/_playerName1,f577f43fd2af8d382ba59a841251ad16,arena/PopupArenaPeekCell.csd
arena,PopupArenaPeekCell.csd,_fightTime,5分钟前,editor.qinTomb.2,/_resourceNode/BG/_fightTime,f577f43fd2af8d382ba59a841251ad16,arena/PopupArenaPeekCell.csd
arena,PopupArenaPeekCell.csd,_playerName2,元素樊胜美,,/_resourceNode/BG/_playerName2,f577f43fd2af8d382ba59a841251ad16,arena/PopupArenaPeekCell.csd
arena,PopupArenaPeekCell.csd,_textRankDesc,【暗黑邱莹莹】,editor.qinTomb.1,/_resourceNode/BG/_textRankDesc,f577f43fd2af8d382ba59a841251ad16,arena/PopupArenaPeekCell.csd
arena,PopupArenaPeekCell.csd,Text_playerDesc,玩家：,editor.qinTomb.3,/_resourceNode/BG/_nodePlayer1/Text_playerDesc,f577f43fd2af8d382ba59a841251ad16,arena/PopupArenaPeekCell.csd
arena,PopupArenaPeekCell.csd,Text_playerDesc,玩家：,editor.qinTomb.3,/_resourceNode/BG/_nodePlayer2/Text_playerDesc,f577f43fd2af8d382ba59a841251ad16,arena/PopupArenaPeekCell.csd
arena,PopupArenaRank.csd,Text_title,每日22点结算会通过邮件发放奖励排名,editor.arena.1,/Panel_root/Text_title,0bf3be3b0f5aea286bef59d701985124,arena/PopupArenaRank.csd
arena,PopupArenaRank.csd,Text_title_0,我的排名：,editor.siege.13,/Panel_root/Node_1/Text_title_0,0bf3be3b0f5aea286bef59d701985124,arena/PopupArenaRank.csd
arena,PopupArenaRank.csd,Text_title_0_0,排名奖励：,editor.siege.2,/Panel_root/Node_1/Text_title_0_0,0bf3be3b0f5aea286bef59d701985124,arena/PopupArenaRank.csd
arena,PopupArenaRank.csd,_textNullReward,当前排名暂无奖励,editor.arena.2,/Panel_root/Node_1/_textNullReward,0bf3be3b0f5aea286bef59d701985124,arena/PopupArenaRank.csd
arena,PopupArenaRankCell.csd,Text_rank_award,排名奖励,editor.arena.9,/_resourceNode/root/Text_rank_award,7012bac10623e96d1d27259377f40d09,arena/PopupArenaRankCell.csd
arena,PopupArenaRankCell.csd,_textPower,9527万,,/_resourceNode/root/_textPower,7012bac10623e96d1d27259377f40d09,arena/PopupArenaRankCell.csd
arena,PopupArenaRankCell.csd,_textPlayerName,暗黑逗逼邱莹莹,,/_resourceNode/root/Node_rank/_textPlayerName,7012bac10623e96d1d27259377f40d09,arena/PopupArenaRankCell.csd
arena,PopupArenaReport.csd,Text_battle_report_desc,战报记录：,editor.arena.10,/Panel_root/Text_battle_report_desc,46902b718948f8519db595d3512b45df,arena/PopupArenaReport.csd
arena,PopupArenaReport.csd,_titleName,敌方武将,editor.arena.11,/Panel_root/_titleBG/_titleName,46902b718948f8519db595d3512b45df,arena/PopupArenaReport.csd
arena,PopupArenaReport.csd,_titleChapter,我的战况,editor.arena.12,/Panel_root/_titleBG/_titleChapter,46902b718948f8519db595d3512b45df,arena/PopupArenaReport.csd
arena,PopupArenaReportCell.csd,_textPlayerName,村长嫡长子狗娃,,/_resourceNode/_textPlayerName,2467daaf2523982e42c4118ee36db3e4,arena/PopupArenaReportCell.csd
arena,PopupArenaReportCell.csd,_textBattleDesc,（连战5次）,,/_resourceNode/_textBattleDesc,2467daaf2523982e42c4118ee36db3e4,arena/PopupArenaReportCell.csd
arena,PopupArenaReportCell.csd,_textRankDesc,排名,editor.arena.4,/_resourceNode/_rankNode/_textRankDesc,2467daaf2523982e42c4118ee36db3e4,arena/PopupArenaReportCell.csd
arena,PopupArenaSweepCell.csd,_textTitle,第 3 次战斗,,/_resourceNode/_panelNormal/_textTitle,79e8a1150477f0fa2f2d10fdd65a4183,arena/PopupArenaSweepCell.csd
arena,PopupArenaSweepCell.csd,Text_1,奖励：,editor.achievement.1,/_resourceNode/_panelNormal/_commonInfo1/Text_1,79e8a1150477f0fa2f2d10fdd65a4183,arena/PopupArenaSweepCell.csd
auction,AuctionItemCell.csd,_textItemName,护心镜,,/_resourceNode/_textItemName,5805a051d1f49ca406fde1c1f3b850b0,auction/AuctionItemCell.csd
auction,AuctionItemCell.csd,_textTimeDesc,起拍,,/_resourceNode/_textTimeDesc,5805a051d1f49ca406fde1c1f3b850b0,auction/AuctionItemCell.csd
auction,AuctionView.csd,Text_6_0,物品名称,editor.auction.4,/_panelBk/NodeMid/Image_title_bg1/Text_6_0,82c8b723318ef2efe1d779a372aa250c,auction/AuctionView.csd
auction,AuctionView.csd,Text_6_1,当前竞价,editor.auction.5,/_panelBk/NodeMid/Image_title_bg1/Text_6_1,82c8b723318ef2efe1d779a372aa250c,auction/AuctionView.csd
auction,AuctionView.csd,Text_6_2,一口价,editor.auction.6,/_panelBk/NodeMid/Image_title_bg1/Text_6_2,82c8b723318ef2efe1d779a372aa250c,auction/AuctionView.csd
auction,AuctionView.csd,Text_6_2_3,剩余时间,editor.auction.7,/_panelBk/NodeMid/Image_title_bg1/Text_6_2_3,82c8b723318ef2efe1d779a372aa250c,auction/AuctionView.csd
auction,AuctionView.csd,_textAuctionNoShare,未参与本次活动，不参与分红,,/_panelBk/NodeMid/_nodeInfo/_textAuctionNoShare,82c8b723318ef2efe1d779a372aa250c,auction/AuctionView.csd
auction,AuctionView.csd,_textAuctionShare,本次拍卖人均分红：,editor.auction.8,/_panelBk/NodeMid/_nodeInfo/_commonRes/_textAuctionShare,82c8b723318ef2efe1d779a372aa250c,auction/AuctionView.csd
auction,PopupAuctionLog.csd,titleTime,成交时间,editor.auction.1,/_panelBase/_titleBG/titleTime,52357940cf829f82c761b5517d06be4b,auction/PopupAuctionLog.csd
auction,PopupAuctionLog.csd,titleName,拍卖品,editor.auction.2,/_panelBase/_titleBG/titleName,52357940cf829f82c761b5517d06be4b,auction/PopupAuctionLog.csd
auction,PopupAuctionLog.csd,titlePrice,成交价,editor.auction.3,/_panelBase/_titleBG/titlePrice,52357940cf829f82c761b5517d06be4b,auction/PopupAuctionLog.csd
auction,PopupAuctionLogCell.csd,_textTime,昨日 21:30,,/_resourceNode/_textTime,31c4d2bf3f0c2deb7d01feb371723778,auction/PopupAuctionLogCell.csd
auction,PopupAuctionLogCell.csd,_textItemName,燃烧歌贼燃烧,,/_resourceNode/_textItemName,31c4d2bf3f0c2deb7d01feb371723778,auction/PopupAuctionLogCell.csd
auction,PopupAuctionLogCell.csd,_textPayDesc,竞拍价,,/_resourceNode/_textPayDesc,31c4d2bf3f0c2deb7d01feb371723778,auction/PopupAuctionLogCell.csd
avatar,AvatarBookDrawNode.csd,TextName1,名字,editor.horse.4,/Panel/TextName1,6339f87fa0de2c7635abf9c02a8328af,avatar/AvatarBookDrawNode.csd
avatar,AvatarBookDrawNode.csd,TextName2,名字,editor.horse.4,/Panel/TextName2,6339f87fa0de2c7635abf9c02a8328af,avatar/AvatarBookDrawNode.csd
avatar,AvatarBookDrawNode.csd,TextTitle,生命上册,,/Panel/ImageTitle/TextTitle,6339f87fa0de2c7635abf9c02a8328af,avatar/AvatarBookDrawNode.csd
avatar,AvatarDetailCombinationModule.csd,_textName,名字,editor.horse.4,/_panelBg/_textName,0ac4fba3c6c36189d55f1237bc6d5a33,avatar/AvatarDetailCombinationModule.csd
avatar,AvatarDetailCombinationModule.csd,Text11,激活效果,editor.avatar.6,/_panelBg/Text11,0ac4fba3c6c36189d55f1237bc6d5a33,avatar/AvatarDetailCombinationModule.csd
avatar,AvatarIcon.csd,_textName,名字名字名字名字,,/_textName,25b589c3f0f6b52411007b2e9fc115e9,avatar/AvatarIcon.csd
avatar,AvatarTrainView.csd,TextLevel,强化等级：,editor.treasure.1,/Panel_2_0/Panel_156/TextLevel,3104bb3d4fb8ab72b071e6cd048110ac,avatar/AvatarTrainView.csd
avatar,AvatarView.csd,_textAvatarName,刘备变身卡,,/_panelDesign/PanelMid/Image_280/_textAvatarName,00a42aa8c0b23ef9229050b5a200c1df,avatar/AvatarView.csd
avatar,AvatarView.csd,Text_95,已穿戴,editor.avatar.4,/_panelDesign/PanelMid/_imageWear/Text_95,00a42aa8c0b23ef9229050b5a200c1df,avatar/AvatarView.csd
avatar,PopupAvatarDetail.csd,_textTitle,变身卡详情,editor.avatar.5,/Panel_root/Image_bg_all/_textTitle,99e41af9fbe777a0c0760237175edd71,avatar/PopupAvatarDetail.csd
